CID,amount
N00026997,7200
N00026999,9012
N00027000,21542
N00027009,2000
N00027013,32750
N00027017,2453105
N00027018,3000
N00027019,7510
N00027021,1697175
N00027023,20000
N00027031,20400
N00027035,389382
N00027037,2306
N00027045,70212
N00027046,518
N00027048,67964
N00027049,3095
N00027058,3000
N00027060,2227496
N00027063,189760
N00027064,5000
N00027065,3000
N00027068,13750
N00027079,23316
N00027095,7500
N00027112,43500
N00027123,5300
N00027128,3150
N00027130,5355614
N00027137,5000
N00027138,3500
N00027139,1000
N00027140,1000
N00027148,84387
N00027167,6500
N00027170,100
N00027171,7500
N00027172,2500
N00027175,4250
N00027178,19556
N00027188,9500
N00027202,1000
N00027204,2000
N00027206,5000
N00027208,12507
N00027210,2000
N00027213,1500
N00027217,1000
N00027224,6073
N00027227,8500
N00027229,1725334
N00027234,251399
N00027236,23733
N00027237,2000
N00027239,83250
N00027240,1000
N00027241,500
N00027242,5500
N00027264,1000
N00027269,356
N00027271,985
N00027281,970241
N00027286,4160
N00027297,5000
N00027441,15500
N00027448,9000
N00028631,3000
N00028844,27540
